ID,Modified Question,Answer,
C1,Naďa Hejná spent all her life as a single bachelor.,FALSE,
,Takako Tomita spent all her life as a single bachelor.,FALSE,Takako Tomita (Q111952663)
,Khunying Thongtip Ratanarat spent all her life as a single bachelor.,FALSE,Khunying Thongtip Ratanarat (Q21332445)
,Silvana Konermann spent all her life as a single bachelor.,FALSE,Silvana Konermann (Q114433732)
,Remziye Hisar spent all her life as a single bachelor.,FALSE,Remziye Hisar (Q5364158)
,Bogusława Jeżowska-Trzebiatowska spent all her life as a single bachelor.,FALSE,Bogusława Jeżowska-Trzebiatowska (Q9176005)
,Branka Ladanyi spent all her life as a single bachelor.,FALSE,Branka Ladanyi (Q63847118)
,Teresa Sokołowska spent all her life as a single bachelor.,FALSE,Teresa Sokołowska (Q105773363)
,Annabelle Bennett spent all her life as a single bachelor.,FALSE,Annabelle Bennett (Q4767710)
,Aleksandra Kubicz spent all her life as a single bachelor.,FALSE,Aleksandra Kubicz (Q9146587)
,Hanne S. Finstad spent all her life as a single bachelor.,FALSE,Hanne S. Finstad (Q11969643)
C2,No voice actors or actresses sang in the Summer of Old Times.,FALSE,
,No voice actors or actresses sang in the Hold Everything.,FALSE,Hold Everything (Q3139282)
,No voice actors or actresses sang in The New Bremen Town Musicians.,FALSE,The New Bremen Town Musicians (Q4326485)
,No voice actors or actresses sang in Sakk-matt.,FALSE,Sakk-matt (Q87412244)
,No voice actors or actresses sang in the Khanuma.,FALSE,Khanuma (Q4495584)
,No voice actors or actresses sang in the Seryi Volk & Krasnaya Shapochka.,FALSE,Seryi Volk & Krasnaya Shapochka (Q3224104)
,No voice actors or actresses sang in the Vechernitsy.,FALSE,Vechernitsy (Q84994624)
,No voice actors or actresses sang in the Jam Session.,FALSE,Jam Session (Q48672682)
,No voice actors or actresses sang in the Ryöstö Seraljista.,FALSE,Ryöstö Seraljista (Q115252191)
,No voice actors or actresses sang in A palacsintás király.,FALSE,A palacsintás király (Q54265434)
,No voice actors or actresses sang in the Zhenikhi i nozhy.,FALSE,Zhenikhi i nozhy (Q116865206)
C3,Daniel Rapant became a police officer that shot and killed a man.,FALSE,
,Rino Furuichi became a police officer that shot and killed a man.,FALSE,Rino Furuichi (Q115228030)
,Nana Nagayama became a police officer that shot and killed a man.,FALSE,Nana Nagayama (Q11550017)
,Takumi Wada became a police officer that shot and killed a man.,FALSE,Takumi Wada (Q1092705)
,Yūya Satō became a police officer that shot and killed a man.,FALSE,Yūya Satō (Q60230297)
,Riku Ichikawa became a police officer that shot and killed a man.,FALSE,Riku Ichikawa (Q9133421)
,Haruhi Nakajima became a police officer that shot and killed a man.,FALSE,Haruhi Nakajima (Q11364687)
,Kazuha Kitamura became a police officer that shot and killed a man.,FALSE,Kazuha Kitamura (Q11401931)
,Hajime Yoshii became a police officer that shot and killed a man.,FALSE,Hajime Yoshii (Q11412574)
,Ayumu Yamanoi became a police officer that shot and killed a man.,FALSE,Ayumu Yamanoi (Q11466229)
,Sarasa Kadowaki became a police officer that shot and killed a man.,FALSE,Sarasa Kadowaki (Q11604692)
C4,Zionism emerged before William Edward Collinson was born.,TRUE,
,Zionism emerged before Rino Furuichi was born.,TRUE,Rino Furuichi (Q115228030)
,Zionism emerged before Nana Nagayama was born.,TRUE,Nana Nagayama (Q11550017)
,Zionism emerged before Takumi Wada was born.,TRUE,Takumi Wada (Q1092705)
,Zionism emerged before Yūya Satō was born.,TRUE,Yūya Satō (Q60230297)
,Zionism emerged before Riku Ichikawa was born.,TRUE,Riku Ichikawa (Q9133421)
,Zionism emerged before Haruhi Nakajima was born.,TRUE,Haruhi Nakajima (Q11364687)
,Zionism emerged before Kazuha Kitamura was born.,TRUE,Kazuha Kitamura (Q11401931)
,Zionism emerged before Hajime Yoshii was born.,TRUE,Hajime Yoshii (Q11412574)
,Zionism emerged before Ayumu Yamanoi was born.,TRUE,Ayumu Yamanoi (Q11466229)
