Fabada asturiana,Modified Question,Answer,entities,
S1,"If both places have equal population growth, is the population in Horsens going to reach 60000 before Ikast?",TRUE,,
S2,"If both places have equal population growth, is the population in Azpeitia going to reach 60000 before Souda?",TRUE,"Azpeitia (Q180611), Souda (Q544242)",
S3,"If both places have equal population growth, is the population in Bad Camberg going to reach 60000 before Bodzanów?",TRUE,"Bad Camberg (Q558512), Bodzanów (Q544822)",
S4,"If both places have equal population growth, is the population in Hessisch Lichtenau going to reach 60000 before Diemelstadt?",TRUE,"Hessisch Lichtenau (Q558563), Diemelstadt (Q558638)",
S5,"If both places have equal population growth, is the population in Witzenhausen going to reach 60000 before Gedern?",TRUE,"Gedern (Q560940), Witzenhausen (Q564827)",
S6,"If both places have equal population growth, is the population in Solms going to reach 60000 before Hatzfeld?",TRUE,"Solms (Q566156), Hatzfeld (Q565504)",
S7,"If both places have equal population growth, is the population in Vellmar going to reach 60000 before Kirchhain?",TRUE,"Vellmar (Q569651), Kirchhain (Q569684)",
S8,"If both places have equal population growth, is the population in Breuberg going to reach 60000 before Clive?",TRUE,"Breuberg (Q572075), Clive (Q580817)",
S9,"If both places have equal population growth, is the population in Gersfeld going to reach 60000 before Mitcheldean?",TRUE,"Gersfeld (Q593813), Mitcheldean (Q587295)",
S10,"If both places have equal population growth, is the population in Niddatal going to reach 60000 before Pilliga?",TRUE,"Niddatal (Q622391), Pilliga (Q597679)",
S11,"If both places have equal population growth, is the population in Araban going to reach 60000 before Ortenberg?",TRUE,"Araban (Q623678), Ortenberg (Q622509)",
S2,Is Karl Lagerfeld's pet a corgi?,FALSE,Karl Lagerfeld (Q76716),
S3,Is Amos Slade's pet a corgi?,FALSE,Amos Slade (Q27437118),
S4,Is Anita Radcliffe's pet a corgi?,FALSE,Anita Radcliffe (Q27145408),
S5,Is Anna Sergeyevna's pet a corgi?,FALSE,Anna Sergeyevna (Q18581134),
S6,Is Nel Rawlison's pet a corgi?,FALSE,Nel Rawlison (Q11790514),
S7,Is Rosângela Lula da Silva's pet a corgi?,FALSE,Rosângela Lula da Silva (Q112071182),
S8,Is Hamato Yoshi's pet a corgi?,FALSE,Hamato Yoshi (Q106515529),
S9,Is Nikkia Bell's pet a corgi?,FALSE,Nikkia Bell (Q26990324),
S10,Is Shichimi's pet a corgi?,FALSE,Shichimi (Q54858086),
S11,Is Simon Eriksson's pet a corgi?,FALSE,Simon Eriksson (Q124926682),
S12,Is Al' Falqa's pet a corgi?,FALSE,Al' Falqa (Q76801931),
S3,Does Leopold Lanner's wife make a living using her voice?,TRUE,,
,Does Husayn Sharaf al-Dīn's wife make a living using her voice?,TRUE,Husayn Sharaf al-Dīn (Q12208211),
,Does Yusuf al-Khal's wife make a living using her voice?,TRUE,Yusuf al-Khal (Q532033),
,Does André Loheac's wife make a living using her voice?,TRUE,André Loheac (Q109745580),
,Does Antoine Kerbaj's wife make a living using her voice?,TRUE,Antoine Kerbaj (Q12180847),
,Does Galia Topol's wife make a living using her voice?,TRUE,Galia Topol (Q128574166),
,Does Nurith Gertz's wife make a living using her voice?,TRUE,Nurith Gertz (Q7070145),
,Does Avraham Daus's wife make a living using her voice?,TRUE,Avraham Daus (Q97106),
,Does Victoria Gross's wife make a living using her voice?,TRUE,Victoria Gross (Q112323153),
,Does Ira Reichwarger's wife make a living using her voice?,TRUE,Ira Reichwarger (Q55286146),
S4,Would it have been possible for Maria de Ventadorn to speak to someone 100 miles away?,FALSE,,
,Would it have been possible for Zuhayr ibn al-Qayn to speak to someone 100 miles away?,FALSE,Zuhayr ibn al-Qayn (Q5722046),
,Would it have been possible for Habib al-Ajami to speak to someone 100 miles away?,FALSE,Habib al-Ajami (Q4120080),
,Would it have been possible for Shah Shuja to speak to someone 100 miles away?,FALSE,Shah Shuja (Q2975458),
,Would it have been possible for Abu Bakr Shiblie to speak to someone 100 miles away?,FALSE,Abu Bakr Shiblie (Q334865),
,Would it have been possible for Ashraf Jahangir Semnani to speak to someone 100 miles away?,FALSE,Ashraf Jahangir Semnani (Q4805882),
,Would it have been possible for Sayyid Ali Hamadani to speak to someone 100 miles away?,FALSE,Sayyid Ali Hamadani (Q339427),
,Would it have been possible for Elkas Mirza to speak to someone 100 miles away?,FALSE,Elkas Mirza (Q6418012),
,Would it have been possible for Abu Ishaq Kazeruni to speak to someone 100 miles away?,FALSE,Abu Ishaq Kazeruni (Q7495751),
