ID,Creak Claim,Answer
C1,Peter Sellers spent his life as a single bachelor.,FALSE
C2,No voice actors sang in the Beauty and the Beast.,FALSE
C3,Richard Branson became a Police officer that shot and killed a man.,FALSE
C4,The first time gender equality was brought up was in 2010.,FALSE
C5,The Western Wall ceases to exist anymore.,FALSE
C6,Ernst Haeckel publish books that focused on evolutionary biology.,TRUE
C7,One can watch Bugs Bunny on the television.,TRUE
C8,Some people study books about Stoicism.,TRUE
C9,Alfred Nobel took a career in acting.,FALSE
C10,"Augusta, Georgia has many beaches to swim at.",TRUE
C11,Kia Motors ceases to exist as an entity.,FALSE
C12,Modern spaceflight started prior to World War I.,FALSE
C13,The Statue of Freedom and the Statue of Liberty are the same thing.,FALSE
C14,A boulevard can typically be found in any city or town.,TRUE
C15,Ronda Rousey has proved that girls are unable to participate in martial arts.,FALSE
C16,Dmitry Medvedev plays hockey for the French national team.,FALSE
C17,Pope Gregory VII released his best song in 2015.,FALSE
C18,Charles the Bald ruled over France and Italy during the 9th century.,TRUE
C19,Dwyane Wade won 3 championships with the Miami Heat.,TRUE
C20,Pablo Neruda wrote a great number of exceptional poems.,TRUE
C21,The cartoon of Bugs Bunny was influenced by the Rick and Morty cartoon.,FALSE
C22,The couple went to the movie theater to watch Prison Break.,FALSE
C23,Marshall McLuhan practice Islam fervently and has partaken in various jihads.,FALSE
C24,Robert De Niro has a lot of popular songs he sings.,FALSE
C25,Dwyane Wade played basketball during his career.,TRUE
C26,Nights begin to grow longer during the Autumn.,TRUE
C27,Nancy Pelosi represents her district in the U.S. Congress.,TRUE
C28,Some women experience menopause when they age.,TRUE
C29,Modern vehicles use friction to Brake or slow down to come to a stop.,TRUE
C30,Alexander Graham Bell descended from a Scottish physicist.,FALSE
C31,Wilhelm Wundt studied under Sigmund Freud.,FALSE
C32,Lake Tanganyika ceases to exist after drought.,FALSE
C33,Florence Nightingale acted in many movies and won an Oscar.,FALSE
C34,Satanism and Christianity go hand in hand.,FALSE
C35,Boris Yeltsin lead the British to victory over the French in a war.,FALSE
C36,Alexander Graham Bell will contest in the next presidential elections.,FALSE
C37,Margaret Thatcher leads the Government of the United Kingdom.,FALSE
C38,George S. Patton illustrated children's books for a living.,FALSE
C39,Only on Wednesday can people go to church.,FALSE
C40,The history of mathematics spans many centuries.,TRUE
C41,Victoria Beckham married David Beckham and are still together.,TRUE
C42,LeBron James is the star of the US Open.,FALSE
C43,One can see both the Statue of Freedom and the United States Capitol at the same time.,TRUE
