ID,StrategyQA Question,Answer
S1,Will the Albany in Georgia reach a hundred thousand occupants before the one in New York?,FALSE
S2,"Was animal in You're a Good Sport, Charlie Brown, hypothetically a hound?",FALSE
S3,Does Paulo Coelho's wife make a living through speech?,TRUE
S4,Could Carl Friedrich Gauss speak to someone 100 miles away?,FALSE
S5,Was a woman Prime Minister directly before or after Stanley Baldwin?,TRUE
S6,Would Bobby Jindal's high school mascot eat kibble?,TRUE
S7,Were there greater landslides than 1980 United States presidential election?,FALSE
S8,Will the producer of Easy Rider become an octogenarian in 2021?,FALSE
S9,Could you watch all of JAG in six months?,TRUE
S10,Would The Dark Knight be appropriate for a preschool class?,FALSE
S11,Is Isaac Newton buried at the same church as the author of Great Expectations?,TRUE
S12,Could someone listen to the entire U2 debut studio album during an episode of Peppa Pig?,TRUE
S13,Could someone in Tokyo take a taxi to the The Metropolitan Museum of Art?,FALSE
S14,Could a fan of the Botany Swarm vote for John Key?,FALSE
S15,Was King Kong (2005 film) solvent?,TRUE
S16,Did Richard III's father have greater longevity than him?,FALSE
S17,Could Eddie Murphy's children hypothetically fill a basketball court by themselves?,TRUE
S18,Was the 1980 presidential election won by a member of the Grand Old Party?,TRUE
S19,Was The Canterbury Tales written before One Thousand and One Nights?,FALSE
S20,Does Rupert Murdoch's alma mater have more history than the USA?,TRUE
S21,Does Lupita Nyongo have citizenship in paternal Family of Barack Obama's origin country?,FALSE
S22,Is 3D printing able to make adenovirus?,FALSE
S23,Is watching Star Wars necessary to know who Darth Vader is?,FALSE
S24,If someone loves buffalo wings do they enjoy capsaicin?,TRUE
S25,Does Princess Peach's dress resemble a peach fruit?,FALSE
S26,Can I hold Bing in a basket?,FALSE
S27,Can a snake swallow an M60 Patton?,FALSE
S28,Can the Persian Gulf fit in New Jersey?,TRUE
S29,Is Bucharest located south of Egypt?,TRUE
S30,Would the author of Little Women have remembered the ratification of the 13th Amendment?,FALSE
S31,Was Dorothea Wendling from same place Porsche originated?,TRUE
S32,Did Brazilian jiu-jitsu Gracie founders have at least a baker's dozen of kids between them?,TRUE
S33,Did Mozart ever buy anything from Dolce & Gabbana?,FALSE
S34,Are any of J.K. Rowling's books in the genre of And Then There Were None?,TRUE
S35,Did Jay-Z ever collaborate with Louis Armstrong?,FALSE
S36,Did Christopher Columbus sail representing a different country than his original home?,TRUE
S37,Could you drive from New England to a Sainsbury's?,FALSE
S38,Can Simon Cowell vote for the next Supreme Court judge?,FALSE
S39,Did Cynthia Powell celebrate a silver anniversary with John Lennon?,FALSE
S40,Did Al Pacino act in a movie during World War II?,FALSE
S41,Is the tibia necessary to win the Stanley Cup?,TRUE
S42,Would someone in Mumbai refer to Solanum melongena as an eggplant?,FALSE
S43,Could a dandelion suffer from hepatitis?,FALSE
S44,Was the original James Bond actor born near the Washington Monument?,TRUE
S45,Was Charlemagne's father instrumental in outcome of the Battle of Tours?,FALSE
S46,Could a giant squid fit aboard the deck of the Titanic?,TRUE
S47,Could Oscar Wilde have operated a motor vehicle?,TRUE
S48,Has a neanderthal ever served on the Supreme Court of the United States?,FALSE
S49,Is Linus Torvalds' wife unable to physically defend herself?,FALSE
S50,Did Eric Clapton have similar taste in women to one of the Beatles?,TRUE
S51,Did Eddie Murphy's father see his first stand up show?,FALSE
S52,Did Evander Holyfield compete in an Olympics hosted in the western hemisphere?,TRUE
S53,Was Donald Trump the target of Islamophobia?,FALSE
S54,Did either Kublai Khan or his grandfather practice monogamy?,FALSE
S55,Did Van Gogh suffer from a mental disorder?,TRUE
S56,Is the span in C-SPAN named after Alan Greenspan?,FALSE
S57," At a presentation about post traumatic stress disorder, would Ariana Grande be a topic of relevance?",TRUE
S58,Could you read The Atlantic magazine during the Games of the XXII Olympiad?,TRUE
S59," Could Elizabeth I of England have seen the play Dido, Queen of Carthage ?",TRUE
S60,Did the writer of Christmas carol fast during Ramadan?,FALSE
S61,Would Janet Jackson avoid a dish with ham?,TRUE
S62,Was the Euro used in Prussia?,FALSE
S63,Could a llama birth twice during War in Vietnam (1945-46)?,FALSE
S64,Is Rick and Morty considered an anime?,FALSE
S65,Is Bern located east of Paris?,TRUE
S66,Was Martin Luther same sect as Martin Luther King Jr.?,FALSE
S67,Could someone have arrived at Wrestlemania X in a Toyota Prius?,FALSE
S68,Was Snoop Dogg's debut studio album released on the weekend?,FALSE
S69,Was Richard III ruler of Adelaide?,FALSE
S70,Would a silicon shortage be bad for Intel's sales?,TRUE
S71,Is Islamophobia against Cyprus majority religion misdirected?,TRUE
S72,Does Amtrak operate four wheel vehicles?,TRUE
S73,Did the Social Democratic Party of Germany help Frederick II become King of Prussia?,FALSE
S74,Did Boris Yeltsin watch the 2008 Summer Olympics?,FALSE
S75,Would you be likely to see storks at a baby shower?,TRUE
S76,Was Snoop Dogg an adult when Tickle Me Elmo was popular?,TRUE
S77,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,TRUE
S78," Would the trees in Auburn, New York be changing colors in September?",TRUE
S79,Can Amtrak's Acela Express break the sound barrier?,FALSE
S80,Could a firewall be destroyed by a hammer?,FALSE
S81,Was The Jackson 5 bigger family band than The Isley Brothers?,
S82,Is a railroad engineer needed during NASCAR events?,TRUE
S83,Does the Dalai Lama believe in the divine barzakh?,FALSE
S84,Did Helen Keller ever read a novel by J. K. Rowling?,FALSE
S85,Can Larry King's ex-wives form a water polo team?,TRUE
S86,Did Mike Tyson train to use the gogoplata?,FALSE
S87,Did Jane Austen suffer from middle child syndrome?,FALSE
S88,Are there people who are men who experience menstruation?,TRUE
S89,Are Brian Cranston and Saoirse Ronan's combined Emmy Awards a prime number?,FALSE
S90,Would an American feel lost due to language barriers at Disneyland Paris?,FALSE
S91,Is Rurouni Kenshin from same country as lead character in Nobunaga's Ambition?,TRUE
S92,Did Immanuel Kant ever meet the 14th president of the United States?,FALSE
S93,Did Martin Luther believe in Satan?,TRUE
S94,Is it common for women to have moustaches?,FALSE
S95,Can a Toyota Supra make a vlog?,FALSE
S96,Does Adam Sandler skip celebrating Easter?,TRUE
S97,Would Statue of Liberty be visible if submerged in Bohai Sea?,TRUE
S98,Is the Matrix a standalone movie?,FALSE
S99,Do children's bicycles often have extra wheels?,TRUE
S100,Would most school children in New York be wearing jackets on groundhog day?,TRUE
S101,Did Jesus go to school to study railroad engineering?,FALSE
S102," Would mooncakes be easy to find in Chinatown, Manhattan?",TRUE
S103,Was King Arthur at the beheading of Anne Boleyn?,FALSE
S104,Could the children of Greek hero Jason hypothetically fill a polo team?,TRUE
S105,Could an escapee swim nonstop from Alcatraz island to Siberia?,FALSE
S106,Could Casio's first invention be worn around the ankle?,FALSE
S107,Does Zelda Williams have any cousins on her father's side?,FALSE
S108,Would Recep Tayyip Erdoğan be unfamiliar with börek?,FALSE
S109,Did children read Harry Potter and the Philosopher's Stone during the Albanian Civil War?,FALSE
S110,Did any of Maya Angelou's children follow in her footsteps?,TRUE
S111,Did Tony Bennett have more children than he had wives?,TRUE
S112,Is it unusual to play Happy hardcore music at a funeral?,TRUE
S113,Would Communist Party of the Soviet Union hypothetically support Trickle Down Economics?,FALSE
S114,Is breakdancing safe for people with tendonitis?,FALSE
S115,Can a Muslim eat a McRib sandwich?,FALSE
S116,Was a USB flash drive used in The Godfather?,FALSE
S117,Can a software engineer work during a power outage?,FALSE
S118,Does American Independence Day occur during autumn?,FALSE
S119,Did Karl Marx influence the communist party of China?,TRUE
